time,ni_in,fe_in,sio2_in,cao_in,mgo_in,al2o3_in,fe_ni,s_m,bc,loi_in,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,voltage_pry,voltage_sec,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
1/1/24 13:00,,,,,,,,,,,0.000000,,,,,-0.10,0.500000,14.040000,0.000000,0.100000,0.000000,0.000000,-1.000000,0.000000,-0.001080,,0.000000,0.000000,954.100000,117.400000,291.200000,565.500000,0.000000,,,0.000000,47.864845,55.865627,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,265.535828,-6.662494,
1/1/24 14:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.100000,0.000000,0.000000,-1.000000,0.000000,-0.001080,,0.000000,0.000000,88.900000,38.300000,228.200000,493.800000,0.000000,,,0.000000,46.054295,53.605247,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,261.819885,-6.764345,
1/1/24 15:00,,,,,,,,,,,0.000000,,,,, ,0.600000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000945,,0.000000,0.000000,87.800000,38.100000,277.600000,493.900000,0.000000,,,0.000000,45.256989,52.473846,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,257.608734,-7.625655,
1/1/24 16:00,,,,,,,,,,,0.000000,,,,,0.100000,0.500000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.001080,,0.000000,0.000000,28.900000,24.500000,185.000000,446.000000,0.000000,,,0.000000,44.220711,50.886497,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,254.961105,-7.835230,
1/1/24 17:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.001080,,0.000000,0.000000,27.700000,24.800000,185.800000,446.200000,0.000000,,,0.000000,42.939003,48.908852,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,251.426865,-7.863478,
1/1/24 18:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.001080,,0.000000,0.000000,8.500000,17.600000,70.100000,292.100000,0.000000,,,0.001000,41.535870,47.075726,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,246.412018,-7.217180,
1/1/24 19:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.001080,,0.000000,0.000000,8.200000,17.700000,70.000000,270.900000,0.000000,,,0.000000,40.595650,45.405735,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,243.654770,-7.262688,
1/1/24 20:00,,,,,,,,,,,0.000000,,,,,-0.10,0.500000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000945,,0.000000,0.000000,9.100000,17.600000,56.500000,270.000000,0.000000,,,0.000000,39.937134,44.165512,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,239.809616,-6.574080,
1/1/24 21:00,,,,,,,,,,,0.000000,,,,,-0.10,0.500000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000810,,0.000000,0.000000,7.800000,17.700000,56.400000,270.000000,0.000000,,,0.000000,39.382389,43.168190,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,236.452972,-6.933609,
1/1/24 22:00,,,,,,,,,,,0.000000,,,,,-0.10,0.600000,14.040000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,-0.000810,,0.000000,0.000000,0.900000,0.200000,0.600000,3.500000,0.000000,,,0.000000,38.191181,42.247864,1560.000000,18.240000,1.380000,0.840000,78.729000,0.811000,0.050000,7.730000,232.795395,0.775891,
