ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,27.63,44.66,6403.38,42.89,6844.29,21.5,21.7,21.7,20.4,34.5,34.5,0.5551875,52.2,64.24125000000001,49.72108549999999,48.025000000000034,48.8,53.49999999999999,262.4,2300.0,3.047,885.616943,776.85968,1366.0,16.17,1.22,0.75,81.23,0.63,0.05,8.1,652.359863,-3.382927,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,27.63,44.66,6403.38,42.89,6844.29,21.5,21.4,21.7,20.5,33.56,33.56,0.5551875,40.5,64.24125000000001,49.72108549999999,48.025000000000034,46.4,53.49999999999999,265.3,1900.0,2.871,829.9661609199998,666.668152,1366.0,16.17,1.22,0.75,81.23,0.63,0.05,8.1,650.467957,-4.242333,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,21.01,44.66,6403.38,42.89,6844.29,21.07,21.5,21.4,23.0,29.79,29.79,0.613845,40.1,64.24125000000001,49.72108549999999,137.4,42.2,54.0,257.5,2700.0,3.541,829.9661609199998,663.6721956250003,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.78,650.278748,-3.876792,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,21.01,44.66,6403.38,42.89,6844.29,21.07,20.7,21.2,20.1,28.5,28.5,0.793665,38.7,81.56,64.424244,201.4,38.2,65.7,256.19999999999993,2800.0,4.533,913.524658,698.85144,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.78,630.809998,-3.988116,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,44.66,6403.38,42.89,6844.29,20.48,21.2,20.7,22.4,23.050000000000004,22.522500000000008,0.79245,39.1,90.83,70.02993,245.8,67.9,74.0,284.6,3000.0,4.54,941.337463,699.190857,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.78,619.106262,-4.07382,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,44.66,6403.38,42.89,6844.29,20.48,19.4,23.4,21.6,24.33,24.0867,0.750735,43.8,90.72,69.94512,328.6,119.6,84.2,403.0,3400.0,4.537,963.892151,670.480408,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.78,619.860962,-3.313476,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,44.66,6403.38,42.89,6844.29,20.48,20.1,20.3,20.0,23.050000000000004,22.522500000000008,0.82701,47.6,96.74,74.58654,430.4,190.2,97.8,498.5,3700.0,5.059,981.436951,738.626587,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.73,616.842346,-3.765458,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,44.66,6403.38,42.89,6844.29,20.48,20.5,18.8,20.9,23.050000000000004,22.522500000000008,0.849015,47.3,101.33,78.12543,502.7,221.6,104.1,525.5,4100.0,5.057,1002.291077,776.817627,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.73,630.90448,-3.264659,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.07,18.6,19.6,18.4,29.19,29.19,0.84132,43.6,101.39,78.17169,515.8,225.7,105.9,511.4,4100.0,5.104,1026.881958,809.322021,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.73,645.739502,-3.45227,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.9,39.38,6429.41,39.7,6539.87,21.07,20.4,21.3,19.6,28.77,28.4823,0.91503,43.6,103.42,79.73682,507.9,217.5,106.1,524.2,4000.0,5.331,1019.334717,791.11969,1354.0,15.96,1.25,0.81,81.4,0.58,0.05,7.73,637.799988,-3.438806,0.0
